"year","annual_temp_mean"
2015,17.82912953812
2016,18.0406847021308
2017,17.4764475494701
2018,19.0683828319869
2019,17.2889495329121
2020,18.3197133021571
2021,18.5271381995298
2022,27.7509226903469
